,Price,From,To,is_holiday,avialine,duration,days_until_flight,part_of_day
463,9720,Алматы,Астана,False,SCAT,100,51,день
464,9720,Алматы,Астана,False,SCAT,100,51,утро
465,9720,Алматы,Астана,False,SCAT,105,51,вечер
466,9720,Алматы,Астана,False,SCAT,95,51,утро
467,9819,Алматы,Астана,False,FlyArystan,115,51,утро
468,9819,Алматы,Астана,False,FlyArystan,110,51,вечер
469,10879,Алматы,Астана,False,FlyArystan,110,51,день
470,20489,Алматы,Астана,False,Air Astana,105,51,день
471,9720,Алматы,Астана,False,SCAT,105,52,день
472,9720,Алматы,Астана,False,SCAT,100,52,утро
473,12220,Алматы,Астана,False,SCAT,105,52,вечер
474,9720,Алматы,Астана,False,SCAT,95,52,утро
475,9819,Алматы,Астана,False,FlyArystan,115,52,утро
476,10879,Алматы,Астана,False,FlyArystan,110,52,день
477,12220,Алматы,Астана,False,SCAT,100,52,день
478,12220,Алматы,Астана,False,SCAT,100,52,день
479,9490,Алматы,Астана,False,SCAT,95,53,утро
480,21033,Алматы,Астана,False,Air Astana,110,53,утро
481,29439,Алматы,Астана,False,Air Astana,110,53,вечер
482,11885,Алматы,Астана,False,FlyArystan,110,53,утро
483,12419,Алматы,Астана,False,SCAT,100,53,утро
484,12419,Алматы,Астана,False,SCAT,100,53,ночь
485,12419,Алматы,Астана,False,SCAT,105,53,день
486,12220,Алматы,Астана,False,SCAT,105,54,день
487,12220,Алматы,Астана,False,SCAT,100,54,утро
488,12220,Алматы,Астана,False,SCAT,105,54,вечер
489,12220,Алматы,Астана,False,SCAT,95,54,утро
490,12220,Алматы,Астана,False,SCAT,100,54,день
491,12999,Алматы,Астана,False,FlyArystan,115,54,ночь
492,15119,Алматы,Астана,False,FlyArystan,110,54,день
493,15119,Алматы,Астана,False,FlyArystan,115,54,утро
494,12220,Алматы,Астана,False,SCAT,100,55,день
495,12220,Алматы,Астана,False,SCAT,100,55,утро
